District,year,area,avg_rainfall,max_temperature,min_temperature,aus,aman,boro,wheat,potato,jute,humidity,storm,urea,tsp,mp,DAP,inundationland_Highland,inundationland_mediumhighland,inundationland_lowland,inundationland_mediumlowland,inundationland_verylowland,Miscellaneous Land,Calcareous Alluvium,Noncalcareous Alluvium,Acid Basin Clay,Calcareous Brown Floodplain Soil,Calcareous Grey Floodplain Soil,Calcareous Dark Grey Floodplain Soil,Noncalcareous Grey Floodplain Soil,Noncalcareous Dark Grey Floodplain Soil,Peat,Made-Land,Noncalcareous Brown Floodplain Soil,Shallow Red-Brown Terrace Soil,Deep Red-Brown Terrace Soil,Brown Mottled Terrace Soil,Shallow Grey Terrace Soil,Deep Grey Terrace Soil,Grey Valley Soil,Brown Hill Soil,Grey Piedmont Soil,soil moisture
dhaka,2008,,2385,34.2,12.5,804,9691,233939,1129,33679,29825,71,yes,25967,8262,4808,1573,30118,32245,20539,41335,0,30137,4869,6782,6253,7691,26289,28109,87891,1876,13900,7048,0,0,0,0,0,0,0,0,0,124237
gazipur,2008,,2197,30.2,19.5,4328,93956,208434,479,4300,15072,71,yes,29264,9225,9057,5721,88346,30449,15220,20654,0,16542,0,648,28245,0,0,0,14655,4899,0,0,13,29623,46500,2414,8375,4660,14637,0,0,154669
narsingdi,2008,,2197,34.2,12.5,484,93958,207669,2073,14323,42440,71,no,30273,5068,5113,3031,23779,27893,22923,20368,0,20574,0,8247,4942,0,0,0,41976,27689,0,0,0,881,9800,601,0,140,687,0,0,94963
narayangonj,2008,,2197,34.2,12.2,1617,14485,129390,4585,73525,3620,71,yes,16992,7954,7026,443,9076,13243,14834,22629,0,15871,0,2396,3263,0,0,0,18095,26925,0,492,0,2800,4840,30,213,0,728,0,0,59782
tangail,2008,,1856,34.1,10.2,447,170918,672851,17477,56693,125166,78,yes,91562,19022,20143,8809,91012,133622,66018,15887,0,31462,0,28897,7786,0,0,0,128008,47714,0,0,566,14764,47378,2423,1971,6390,20642,0,0,306539
mymenshing,2008,,2239,29.6,21.6,88198,491413,812189,6111,43755,50856,79,no,120279,34007,47121,28723,163675,148743,68689,9442,0,44852,0,11988,32531,0,0,0,88491,165795,0,0,14725,12158,28174,2689,1846,10150,7915,442,13645,390549
kishoregonj,2008,,2235,34.12,10.8,25072,114327,679546,9877,58910,113711,79,yes,48522,13993,9646,6030,15749,55649,45163,77992,30550,31094,0,2155,15564,0,0,0,119010,87157,0,0,388,39,790,0,0,0,0,0,0,225103
dhaka,2009,,1930,35.6,14.8,1492,28872,217990,2306,42224,55858,66,yes,29300,8041,5396,1578,30118,32245,20539,41335,0,30137,4912,6831,6284,7701,26346,28881,87965,1886,14217,7049,0,0,0,0,0,0,0,0,0,124180
gazipur,2009,,1912,31,11.43,4199,105450,217819,447,4416,9662,66,yes,29059,9658,9007,5604,88346,30449,15220,20654,0,16509,0,760,28708,0,0,0,17532,3968,0,0,10,32059,43384,2202,9323,3898,10360,0,0,154625
narsingdi,2009,,1912,35.6,14.8,530,89811,212482,2788,11896,38814,66,no,30266,5122,5277,3114,23779,27893,22923,20368,0,23770,0,9415,2460,0,0,0,39347,26208,0,0,0,1019,7800,946,0,50,430,0,0,94787
narayangonj,2009,,1912,35.6,14.8,1591,14048,118218,4505,39551,2430,66,yes,16920,7834,6936,532,9076,13243,14834,22629,0,19540,0,1982,3284,0,0,0,14391,23795,0,423,0,2489,4561,20,262,0,766,0,0,59631
tangail,2009,,1391,35.4,12.5,1163,232731,637268,13341,33307,163549,79,yes,88769,17126,18791,9171,91012,133622,66018,15887,0,32783,0,31611,7523,0,0,0,107136,49095,0,0,525,18846,39416,2756,1982,6631,20834,0,0,306452
mymenshing,2009,,1662,30.48,21.2,106457,550642,801190,4055,29029,37272,80,no,120936,42363,42428,30791,163675,148743,68689,9442,0,48398,0,10639,33044,0,0,0,89240,183790,0,0,18491,13418,30254,1991,1119,16808,8255,396,12026,390873
kishoregonj,2009,,1653,33,13.2,33845,133432,679655,9154,44606,105180,80,yes,55839,10939,10321,3647,15749,55649,45163,77992,30550,34449,0,2241,9753,0,0,0,110967,82305,0,0,418,32,972,0,0,0,0,0,0,225451
dhaka,2010,,1523,35.5,12.8,1353,28772,203305,901,49029,63147,55.3,yes,27967,8675,4822,1688,30118,32245,20539,41335,0,30137,4925,6784,6267,7720,26343,28493,87919,1942,14118,7157,0,0,0,0,0,0,0,0,0,124271
gazipur,2010,,1181,29.7,11,4086,125245,247999,365,5475,10338,55.3,yes,29295,9435,9140,5967,88346,30449,15220,20654,0,16646,0,740,29734,0,0,0,18149,4384,0,0,25,30851,40147,2305,8414,3757,9583,0,0,154839
narsingdi,2010,,1181,35,12.8,516,109773,229264,1558,12526,36799,55.3,no,30464,5044,5147,2864,23779,27893,22923,20368,0,15283,0,9990,2189,0,0,0,49961,27301,0,0,0,536,8407,605,0,175,850,0,0,94811
narayangonj,2010,,1181,35,12.8,2220,19742,111879,2286,85610,2313,55.3,no,17014,8075,7209,628,9076,13243,14834,22629,0,9927,0,2492,3273,0,0,0,14665,25702,0,422,0,2457,4904,24,241,0,669,0,0,60041
tangail,2010,,1750,35,10.4,907,250758,645116,12678,40498,161142,64,no,91923,18601,20775,9526,91012,133622,66018,15887,0,28696,0,25430,10608,0,0,0,138804,48772,0,0,513,12679,42444,2518,1931,6582,20152,0,0,306425
mymenshing,2010,,2095,30.7,21.3,71548,475919,908157,2425,36304,39786,66.3,no,119974,32347,49366,29182,163675,148743,68689,9442,0,50861,0,9667,33632,0,0,0,90193,125976,0,0,13458,18326,30396,2690,1285,10866,7307,377,17103,391055
kishoregonj,2010,,1811,32.4,11.71,33830,140425,621424,10363,56592,99041,66.3,yes,69834,14890,18374,5455,15749,55649,45163,77992,30550,31765,0,2391,10146,0,0,0,119836,86979,0,0,379,28,1093,0,0,0,0,0,0,224915
dhaka,2011,,1776,23.4,12.2,912,26151,226879,710,45670,67453,68.2,yes,36991,9386,5553,1628,30118,32245,20539,41335,0,30137,4885,6825,6282,7719,26346,28425,87965,1987,14277,7065,0,0,0,0,0,0,0,0,0,124170
gazipur,2011,,1777,31,12.7,3869,125950,220675,291,5054,17556,68.2,yes,29457,9866,9041,5831,88346,30449,15220,20654,0,17041,0,664,28723,0,0,0,17685,4854,0,0,22,26416,47368,2730,8375,4209,15841,0,0,154779
narsingdi,2011,,1777,23.4,12.2,517,103641,223980,2264,21049,64371,68.2,no,30205,5129,5488,3244,23779,27893,22923,20368,0,25807,0,5204,5817,0,0,0,50008,28781,0,0,0,962,9179,274,0,104,304,0,0,94711
narayangonj,2011,,1777,23.4,12.2,1003,18736,118127,2597,96256,2875,68.2,no,17384,8313,7374,602,9076,13243,14834,22629,0,19705,0,2447,3351,0,0,0,19051,24816,0,363,0,3020,3824,42,238,0,780,0,0,59621
tangail,2011,,1839,22.5,10.1,865,285921,652732,13341,41948,250120,77.7,yes,93730,19362,17605,9765,91012,133622,66018,15887,0,33939,0,24400,10184,0,0,0,145207,43066,0,0,586,13078,39579,2729,1986,6983,20641,0,0,307064
mymenshing,2011,,2147,29.6,20.8,103901,587762,925937,3502,40285,70999,79.3,yes,120944,41236,44949,30009,163675,148743,68689,9442,0,38515,0,10001,34907,0,0,0,89913,183152,0,0,17071,16868,26798,2787,1513,9654,8058,421,18396,390676
kishoregonj,2011,,2153,22.2,10.8,45441,479799,1388619,5473,46171,146373,79.3,yes,65338,14518,11410,6349,15749,55649,45163,77992,30550,31822,0,2127,13084,0,0,0,104315,88951,0,0,333,30,1097,0,0,0,0,0,0,225465
dhaka,2012,,1329,30.8,12.2,927,23809,204100,565,41564,58982,58,yes,32966,8166,5498,1925,30118,32245,20539,41335,0,30137,4930,6862,6295,7707,26294,28895,87915,1877,14148,7005,0,0,0,0,0,0,0,0,0,124357
gazipur,2012,,2122,30,13,4103,116994,250778,273,4601,6993,58,yes,29105,9857,9177,5927,88346,30449,15220,20654,0,16339,0,718,27824,0,0,0,13821,4091,0,0,7,27106,42698,1992,8453,5085,12593,0,0,154740
narsingdi,2012,,2195,27,14.5,609,107112,220941,1540,15655,52187,66,yes,30724,5200,5840,3804,23779,27893,22923,20368,0,22454,0,10200,7057,0,0,0,44072,23881,0,0,0,651,8867,759,0,103,870,0,0,94917
narayangonj,2012,,2122,28.7,13.3,383,16311,125444,368,100547,2964,66,no,17149,8408,7510,732,9076,13243,14834,22629,0,15243,0,2435,3026,0,0,0,14222,20519,0,572,0,3162,4304,36,259,0,610,0,0,60076
tangail,2012,,1469,26.7,10.7,1004,266992,658508,15058,39150,246721,76,no,91285,18985,19294,9068,91012,133622,66018,15887,0,32883,0,23879,5530,0,0,0,158905,39827,0,0,690,16357,46340,2198,1741,7027,20044,0,0,307048
mymenshing,2012,,1479,29.6,20,108383,568546,966869,2400,38005,104468,78,yes,118950,47006,52921,31153,163675,148743,68689,9442,0,46858,0,14435,31623,0,0,0,80831,152733,0,0,14391,15503,25071,2887,1613,10046,7004,426,15971,390788
kishoregonj,2012,,1930,29.4,11.8,46162,488931,1343510,6449,54701,152952,79,yes,66013,20332,16690,6860,15749,55649,45163,77992,30550,30633,0,2499,12839,0,0,0,113683,81634,0,0,405,35,974,0,0,0,0,0,0,225878
dhaka,2013,502,1590,30.9,12.1,752,27797,190646,513,40571,57230,63,yes,30332,9188,5490,1941,30118,32245,20539,41335,0,30137,4877,6877,6254,7707,26311,28987,87963,1904,14205,7138,0,0,0,0,0,0,0,0,0,124206
gazipur,2013,2128,2170,31.7,10.22,3730,111453,237235,238,3353,10458,63,yes,29301,9704,9270,5990,88346,30449,15220,20654,0,16365,0,695,29084,0,0,0,18583,4222,0,0,18,32923,47717,2041,7438,4959,14609,0,0,154900
narsingdi,2013,262,2256,31.25,10.43,493,89870,228106,2363,17824,39048,66,no,30294,5094,5155,3426,23779,27893,22923,20368,0,24154,0,6318,6368,0,0,0,47072,23458,0,0,0,622,9973,764,0,144,926,0,0,94790
narayangonj,2013,178,2063,30.6,11.2,328,16176,119076,426,76953,3400,65.3,no,17610,8707,7653,598,9076,13243,14834,22629,0,18882,0,2539,3008,0,0,0,21352,25143,0,521,0,2295,4432,25,299,0,575,0,0,60007
tangail,2013,509,1182,27,11.6,709,241394,658469,15515,39234,219522,78,no,89379,20598,18579,8782,91012,133622,66018,15887,0,31138,0,24426,9972,0,0,0,127999,47676,0,0,483,12517,43216,2043,1764,6278,20586,0,0,306426
mymenshing,2013,39131,1739,30,20.8,75085,575001,936015,2500,35094,96470,79.2,yes,123953,45664,43889,30172,163675,148743,68689,9442,0,48337,0,13402,34894,0,0,0,75149,107676,0,0,19308,9469,28273,2289,1941,15587,8238,394,9992,390844
kishoregonj,2013,18667,1859,31.3,13.2,41550,501047,1425741,7262,51432,127486,78,yes,68183,13092,14431,7698,15749,55649,45163,77992,30550,34382,0,2098,17871,0,0,0,101983,87654,0,0,383,45,823,0,0,0,0,0,0,226087
dhaka,2014,477,1399,31.1,14.2,948,25676,200560,710,41062,52200,64.7,yes,35321,9233,5369,1926,30118,32245,20539,41335,0,30137,4952,6832,6297,7703,26322,28199,87938,1896,14095,7042,0,0,0,0,0,0,0,0,0,124158
gazipur,2014,2430,1991,30.4,11.5,6324,97502,228161,205,2711,13464,64.7,yes,29564,9578,9139,5970,88346,30449,15220,20654,0,16635,0,769,27874,0,0,0,12314,4285,0,0,17,32076,50661,2601,7107,3966,12080,0,0,154602
narsingdi,2014,269,2384,29.44,11.9,419,88303,205812,811,12975,39367,71,no,30914,5398,5552,3582,23779,27893,22923,20368,0,21825,0,7862,8846,0,0,0,39290,26918,0,0,0,645,9234,794,0,190,762,0,0,94770
narayangonj,2014,150,1540,32.2,15.9,344,13714,117576,382,65423,3352,68.2,no,17220,8897,8058,657,9076,13243,14834,22629,0,11855,0,2378,3320,0,0,0,20422,24052,0,407,0,2254,3850,27,235,0,765,0,0,59715
tangail,2014,1176,1641,27.5,12.9,2129,259119,682506,17153,28216,222290,76,no,91374,19201,20293,9153,91012,133622,66018,15887,0,30014,0,27011,7104,0,0,0,135898,50857,0,0,667,14278,41150,2522,1970,6291,20553,0,0,306725
mymenshing,2014,30579,1934,30.3,20.9,63482,563878,1076409,4934,16960,77949,72,no,111792,45750,40792,31212,163675,148743,68689,9442,0,50306,0,10220,33183,0,0,0,86164,110555,0,0,19448,10681,28353,2862,1186,11557,8202,412,15520,390448
kishoregonj,2014,19611,1660,33.5,12.5,47548,175719,707864,2878,40158,62109,78,yes,53602,11112,14965,6596,15749,55649,45163,77992,30550,31112,0,2207,14366,0,0,0,104282,90908,0,0,352,40,547,0,0,0,0,0,0,225052
dhaka,2015,692,2166,34.2,12.7,1413,15604,205638,716,51989,58234,60.2,yes,30750,9544,5684,1586,30118,32245,20539,41335,0,30137,4909,6848,6281,7714,26371,28719,87924,1950,14214,7038,0,0,0,0,0,0,0,0,0,124203
gazipur,2015,1672,1927,29,12,4071,101542,231718,156,3335,12378,60.2,yes,29543,9626,9453,5865,88346,30449,15220,20654,0,17146,0,686,28885,0,0,0,15846,5062,0,0,19,30276,49531,2187,9873,3963,13704,0,0,154879
narsingdi,2015,299,2176,28,12,474,91527,196927,623,13220,37248,73,no,30530,5391,5314,3939,23779,27893,22923,20368,0,14901,0,10761,3597,0,0,0,40313,33616,0,0,0,845,10345,621,0,248,381,0,0,94750
narayangonj,2015,21,1633,28.3,15.2,49,12516,101838,397,62389,3777,62,yes,17964,9125,7798,711,9076,13243,14834,22629,0,14684,0,2245,2915,0,0,0,21332,27424,0,504,0,2314,5156,21,192,0,683,0,0,60077
tangail,2015,965,1871,34.3,13.2,546,263074,729912,15893,45260,221236,69,yes,88951,20126,19254,9795,91012,133622,66018,15887,0,28386,0,28227,8464,0,0,0,137851,39171,0,0,600,14671,48554,1910,2036,6302,20656,0,0,306989
mymenshing,2015,26570,2084,30.5,20.9,62927,636761,1080151,3415,43888,67001,68,yes,116294,48421,51950,30842,163675,148743,68689,9442,0,48904,0,10705,30385,0,0,0,79059,185259,0,0,20826,9996,27935,3080,1564,13537,6868,493,16019,390970
kishoregonj,2015,19154,1686,30.3,11.3,45640,188211,713696,2525,52907,65304,80,yes,64666,13232,16554,6746,15749,55649,45163,77992,30550,29732,0,2049,10136,0,0,0,105136,83642,0,0,415,29,606,0,0,0,0,0,0,225589
dhaka,2016,654,1562,27,13.6,1431,27419,211933,657,47167,54177,65,yes,36712,9094,5705,1987,30118,32245,20539,41335,0,30137,4903,6825,6258,7718,26304,28519,87968,1984,14088,7017,0,0,0,0,0,0,0,0,0,124269
gazipur,2016,1182,1950,31.2,10.7,2508,95483,234186,158,3646,14256,65,yes,29159,9416,9491,5837,88346,30449,15220,20654,0,16440,0,591,28773,0,0,0,18484,4611,0,0,30,29189,50574,2766,7791,4359,14299,0,0,154602
narsingdi,2016,138,1841,30.3,10.3,206,79512,197940,385,20759,34501,55,no,31056,5227,5836,3450,23779,27893,22923,20368,0,18765,0,6671,5645,0,0,0,42076,31938,0,0,0,823,8779,817,0,148,987,0,0,95097
narayangonj,2016,153,1594,30.1,14.7,327,9945,95582,345,64900,4153,57.5,no,18221,8356,7730,566,9076,13243,14834,22629,0,20144,0,2307,3058,0,0,0,21420,22507,0,567,0,2649,4631,32,258,0,798,0,0,59606
tangail,2016,1211,1749,30.1,12.3,1282,277697,725634,17338,48956,199718,79,yes,93695,20181,18682,10088,91012,133622,66018,15887,0,28416,0,29250,9351,0,0,0,102935,40438,0,0,528,13103,40658,3077,1702,6942,20475,0,0,306918
mymenshing,2016,23288,1632,30.7,21,57140,647789,1074189,2757,41555,70152,69.5,yes,124574,48162,45582,31785,163675,148743,68689,9442,0,41031,0,15858,32760,0,0,0,76492,189477,0,0,14529,9582,23345,2777,1649,12033,7306,294,18093,390670
kishoregonj,2016,23840,1630,30.7,11.2,48583,202701,699047,2469,52557,61146,78,yes,70372,19507,17138,8170,15749,55649,45163,77992,30550,31965,0,2448,12282,0,0,0,115903,85291,0,0,345,29,1087,0,0,0,0,0,0,225257
dhaka,2017,655,1640,31,12.7,1407,27671,218997,742,41497,54590,69,yes,37382,8782,5410,1903,30118,32245,20539,41335,0,30137,4923,6851,6254,7718,26338,28746,87971,1960,14155,7005,0,0,0,0,0,0,0,0,0,124287
gazipur,2017,1229,2185,31.5,13,2980,97465,223605,125,3749,6465,69,yes,29558,9880,9170,5849,88346,30449,15220,20654,0,16654,0,676,27878,0,0,0,13710,5022,0,0,14,28496,41094,2312,9426,4294,13054,0,0,154641
narsingdi,2017,282,2016,27.7,14.5,565,80294,190769,352,19750,34752,62,no,30691,5378,5062,3299,23779,27893,22923,20368,0,26549,0,10677,6997,0,0,0,46080,23348,0,0,0,882,7707,673,0,133,757,0,0,94978
narayangonj,2017,131,1793,28.7,12.2,288,13100,99814,323,70288,3909,67,no,17835,8771,8100,564,9076,13243,14834,22629,0,13714,0,2106,3047,0,0,0,19570,25679,0,646,0,3059,4141,39,284,0,639,0,0,59631
tangail,2017,1085,1632,32,12.8,1545,262172,700906,16703,49180,197752,78,no,93368,20321,18243,9511,91012,133622,66018,15887,0,34025,0,27326,6285,0,0,0,137726,48529,0,0,596,13380,49476,2595,2014,6636,20066,0,0,306660
mymenshing,2017,20948,1949,31,21.2,51783,646505,1072834,3238,40865,79598,79.3,yes,130393,49248,53832,30994,163675,148743,68689,9442,0,38724,0,11221,32119,0,0,0,86040,154148,0,0,14901,12172,21368,2367,1736,13377,6757,466,12213,390529
kishoregonj,2017,21395,2230,32,12.3,45890,198538,503363,3041,54754,117862,79,yes,61581,14561,21016,6921,15749,55649,45163,77992,30550,32069,0,2208,17474,0,0,0,120447,83355,0,0,402,34,1034,0,0,0,0,0,0,225747